text,True_Sentiment,Model_D_Guessed
ang ganda rin nito rubber siya pero for me mukhang okay naman yung quality will order again ibang variation naman hehe sa sizing naman na to nagstick lang ako sa size ko tho it depends pa rin siguro sa paa niyo mahaba at payat yung paa so decided not,Positive,Neutral
awesome ok sya fast charging talaga well depende sa adaptor nyo haha pero akin true fast charging sya kasi pin not unlike sa iba na wire yung lang po overall maganda sya at mura lang pagka kuha ko,Positive,Neutral
una maganda sya kaso pag natagalan na hindi na sya umi iikot masydo kay need mo pa syang kunin pra mag forward sya nakaka kuha dumi pero not,Neutral,Negative
ang soft and napakastandard pagkakagawa napakalong lasting lip therapy na ito napakasmooth pa sa labi,Positive,Negative
wala namang problem sa item at salamat sa freebies,Positive,Negative
you get what you paid for sizing of sole is good but the strap doesn match maluwag siya think ilang suotan lang to pwede na pang jan2 lang sa tabi pacute lang sa picture pero yung lakarang malayo think bibigay to like the color and hindi masakit,Neutral,Negative
thank you so much will order again soon tagal nga lang dumating but its worth it naman thank you,Positive,Neutral
ayos dumating na order natuwa naman si misis dahil di nya alam inorder ko ang gusto nya na sobrang tagal na sa add to cart di pa niya na order nakalimutan na niya ang saya nya kasi all good wlang naging problema wlang damage salamat sa seller at kay,Positive,Negative
very good star lang binigay ko kasi pag straight buhok ko ilang minutes lang balik ulit sa normal,Neutral,Positive
arrived on time complete set of items and okay na rin yung quality except for checkered na manipis and ordinary lot for accommodating,Neutral,Positive
ordered pink pero orange dumating dissapointed ako na nasunod ung order ko but the product is in good condition ok na sa price nya atleast hindi sira at pwedemagamit still ill give star importante ung magagamit ko thank seller,Negative,Neutral
ayun po may mga damage yung iba sana lang wag magkarashes baby slaamat,Neutral,Negative
nagpa pouch pa same price naman sa original price ang mouse pad edi sana wala na lang pouch para maka pil pai design,Neutral,Negative
dito napo yong order ko salamat po ang ganda lahat kaso kulng isang item conceler,Neutral,Positive
size chart is not accurate size is too small for me para lang siyang so suggest you add one size,Neutral,Negative
okay lang ang pagsulat niya pero nagkalat ang tinta sa loob packaging recommend better packaging kasi hindi rin siya nasa loob plastic whatsoever lilinisin ko nalang,Neutral,Negative
disappointed pero expected naman haha dahil mura maganda sana pero,Negative,Neutral
ko to inorder dumating na sya nagtataka lang ako kung bakit nakalabas yung sa may bra di manlang tinahi but pa rin,Neutral,Negative
ayos namn yung parcel mabilis den dumating kaso kulang yung nadiliver pero bka after days ibabalik namn yung pinambayad kodon sa kulang na binigay ni refund ko nalng good quality nadenn yung nga kulang tlga eh eyeliner yon waiting po ulet ako sa,Neutral,Negative
thank you seller super ganda at malambot paa kaya lang mali ung size nung isang pinadala,Neutral,Positive
ang product na nabili ko po dito ay okay naman po di ko lang sure if magtatagal ung products nila mabait po ang seller na ito,Positive,Neutral
maayos po ang product ang tagal nga lang bago ma ship ung deliver naman mabilis ung pag hand over lang ni seller sa courier ang matagal inabot halos weeks,Neutral,Negative
good sana kaso sira dumating siguro dapat ibubble wrap man lang para naman secured ang product kasi nag eexpect ang customer,Neutral,Negative
not good but not bad kasi nga sa price nia mura damage sya at itim sa gilid,Neutral,Negative
cute and easy to handle photo not related but it is so cute very affordable for its price high quality dalawa yung binili ko tig isa kami boyfriend ko so far matibay naman sya mahirap lang isara sa umpisa pero maganda naman,Positive,Neutral
pang second order na wala paden spatula grabe tipid ni seller,Negative,Positive
really loved this one medyo maluwag lang yung garter pero pwede ko namang palitam para sumakto yung fit bet ko pang bumili other color,Positive,Neutral
matagal ma ship parang gasgas yung tela maliit yung cup pero tama naman yung size na dumating kung ka dapat order mo ganern,Negative,Neutral
ibang green yung dumating thought emerald green sya as per pic seller,Neutral,Negative
ang pag cut naman wallpaper brick ay hindi pantay,Neutral,Negative
mali nman yong dumating order ko yong pataas ang dumating pabilog tpos iba din po ang kulay pero mabilis ang shipping,Neutral,Negative
thank you seller nkadating nadin kahit matagal na dumating dahil kay bagyong odette items is in good condition kahit na isang pack lang mabuti nalang maayos na dumating at hindi basa sakto saktong lang sa akin seller think will order again,Positive,Neutral
umbrella not mine its for kapit bahay she just ask me favor to buy her the sme umbrella have thank seller and to the delivery man,Neutral,Negative
selller is good but the courier is so slow nakakadala na bumili tapos ang courier nila sobrang tagal kung may zero star ilalagay ko about sa product di ko pa natetest pareho,Neutral,Negative
isa pa lang nabibili ko but liking it so far ito ginagamit friend ko kaya napabili din ako kasi maganda and matibay siya kahit washing machine or dryer although hindi talaga dapat ganoon ang way to wash bras but still okay pa din ang quality right color and,Positive,Neutral
ok ang product and di ok is ordered but ang dumating is only and also iba ang design even ang colour nya excited panaman ako dahil natagalan din sya dumating but then mali pala ang umasa masasaktan ka lang,Neutral,Negative
bettle socks yung norder ko pero star yung dumating bettle socks sana gusto ko kasi terno damit niya na bettle din maganda sana at makapal pero nakakadismaya maganda naman ang star kaya lang bettle talaga pili ko kasi terno sa pang old pictorial baby ko,Negative,Neutral
medyo manipis yung item tapos sobrang tagal bago naship out almost month bago na receive tapos kulang meters lang yung haba,Neutral,Negative
nag stick nalang sana ako sa totoong size ko kase tama naman pala sabi ibang review get size bigger pero for me stick to your size ok naman siya for the price pero hindi yung sobrang nakakatuwa sa ganda at tibay mukang malambot ang material,Neutral,Negative
malambot ang tela sa seller maski late na kayo nag nag add to cart parin ako hindi kona lang hinintay ang mo coz trust sa mga nag comments sa inyong shop pero sa photo ko may dumi mabaho pa masama ang amoy bakit ganon sana naman check,Negative,Neutral
ordinary maninipis lang as compare sa challis na kinukuhanan ko sayang dami ko pa naman nabili lang ang haba expect full,Neutral,Negative
okay naman nakakabango buong room oil and fragrance is not included nagorder ako sa iba pero it works tahimik din siya kapag ginamit kaya hindi distracting pag matutulog,Neutral,Negative
we like the product kaso si seller kung sino huli umorder yun ang naunang dumating kaya ang tagal dumating nitong item and next time din will not choose ninja van sa delivery,Neutral,Negative
sobrang mgkaiba yung color compare sa picture yung blue ang nka post is light blue pero dumating dark blue and mejo malaki pala sya which is okay quality naman manipis kya goods sakin yun ang ayoko lang is yung pinaka handle kung mkikita nyo prang pinampalo,Neutral,Negative
super nice packaging safe na safe ang item well package talaga kaso nung pagtest ko nagamoy sunog ko alam kung normal lang talaga yun hahahaha,Neutral,Positive
tatlo yung binili since affordable naman gumagana naman sa music pero yung sa mouthpiece hindi un pa naman sana ang main reason ko order this earphones tapos palpak,Negative,Neutral
the shoes is good though manipis kaya madali masira pero it justify naman the price seller love love love love love love love love love love love the the the the product product,Positive,Neutral
am kasi akala namin sa avenue since hours din nakalagay dito sa google ayun hours pala kaming mag ccrave sa lomi niyo kasi hindi kami naka kain sana ma update yung resto hours niyo will update this pag natikman na namin food niyo,Neutral,Negative
akala ko pastel colored yung payong,Neutral,Negative
hindi siya fast charging,Neutral,Negative
dalawa inorder ko pero isa ung dumating responsive naman po si seller renifund nya ung item,Neutral,Negative
very bad customer service rude staff extra hard firmness but still saggy na punta laging ganun kaya sa north nalang kami kumakain mas ok ang ramen at staff,Negative,Neutral
receive after days na magkakasama lang sa isang plastic this is also the biggest one only problem is ang nipis padding parang madali masira kaya need to buy seperate padding insert,Neutral,Negative
parang luma dot kulay cream ung isng bra at wlang tag,Neutral,Negative
pambata pala ito para pala ito sa mga teens masyadong flat 2weeks ko syang nareceived at di maisuot anak ko flat,Neutral,Negative
received items on time no damage naman ang problema ay hindi pare pareho sukat yung isa halos inch ang liit sa iba lapad at haba not yung ganon din maikli naman masyado hindi pantay,Neutral,Negative
sakto lang sa quality thinking na mas mura pa sa ibang shop deflated din sya makikita sa picture not worth it sa price parang mabilis na ninipis kudos sa delivery 3days lang dumating na,Negative,Neutral
maganda matagal naman ang battery lagi kong ginagamit for outdoor act,Positive,Neutral
very late dumating ang item ordered the item last nov and dumating sya november lampas weeks ako nag antay and mukhang madaling masira ang item,Negative,Neutral
nagamit ko na kaya medyu madumi hehehe ok nman dyam worth it nman yung price nag downsize ako kaya mdyu masikip bumabangga yung paa ko sa unahan pro ako nag downsize maluwag sakin,Neutral,Positive
no doubt its tastes good for the price point so so dine in experience is good but the overall taste test sakto lang in eyes hinanapan ko lang wow factor to and given na popular tlaga siya im sure yun legitness is hindi naman talaga matatago na,Neutral,Negative
kumpleto ung mga items meron madali masira at kuulang isang ipin ung sa windproff energy saver salamat po pati sa nagdeliber,Neutral,Positive
malakas ung hangin kumpara neck fan thank you seller tama ung order npdla sna tumagal inorder ko kase nag order ako ibang shop kase order un kaso kulang pinadla ni seller kya aq dto muna para sure mloko sna next order,Positive,Neutral
soo good po shopee at sa seller order uli ako for sure kasi parang kulang yung na order ko,Positive,Neutral
sobrang gusto ko yung tela super comfy niya kaya lang hindi maayos yung pagkakatahi just hope next time seller will double check it first,Neutral,Positive
didn expect na mabilis masira ako kya not bad,Neutral,Negative
yuping yupi yung box baka sa courier nato nagka aberya kaya ganyan pero sana initiatives na seller na ganyan mangyayare at sana pina secure agad packaging kaya star lang tinetest ko pa kung matagal maubos pag nka so far all goods naman mukang matibay sulit,Neutral,Negative
hindi kona ksi na pic ksi ginamit agad ate ko goods ang quality better to buy in this shop,Positive,Negative
forda buy kayo sarili niyong seafood kase mahal sa pag sa mismong restaurant na mangagagaling,Neutral,Negative
not so good okay honest review to nag expect ako na kakapit matagal ung perfume nakailang spray na ako bilis lang maalis amoy pero if sa damit mejo naamoy din yung scent niya mejo alcohol ish ganon okay lang naman ang scent sa pakaging naman is nagulat ako,Neutral,Negative
the red hindi sya maroon which is order and cream color are small compare to others thin lang yung fabric kapag sinuot kita ang foam nawawala din sa pwesto di kasi nakatahi or secured,Neutral,Negative
first time to order in this shop not bad for first time nailaw naman sya hindi ko pa kasi nakakabit eh seller,Positive,Negative
yan siya sana sinama yung lagayan gaya sa picture ipang reregalo ko kasi sana to so ngaun magiicp ako pano ko ito ibabalot maganda ang pagbukas kesa ganto lang ibigay ko baka sabhin pinaglumaan pero magaganda naman,Neutral,Negative
ibandg brand inorder ko pero binigay sana magtagal kasi ang nipis nya,Neutral,Negative
tumutulo sa bote di maayos packaging paki ayos po tong problem na to seller only saying this so that next time wala nang mag complain about sa order okay overall the smell of the perfume is amazing yung packaging lang po paki ayos nalang,Neutral,Negative
thick siya di madaling masira good job seller order next time,Positive,Neutral
thought gaya dati noon na in order ko na brown ung kulay sa likod nya ngaun plastic po at ndi maxiadong madikit,Neutral,Negative
