text,True_Sentiment,Model_D_Guessed
thank you seller nkadating nadin kahit matagal na dumating dahil kay bagyong odette items is in good condition kahit na isang pack lang mabuti nalang maayos na dumating at hindi basa sakto saktong lang sa akin seller think will order again,Positive,Neutral
umbrella not mine its for kapit bahay she just ask me favor to buy her the sme umbrella have thank seller and to the delivery man,Neutral,Negative
you get the quality for its price sana tumagal kahit month hahahha size aku and tama nman ang size sa paa ko puede xa pangbahay talaga,Neutral,Positive
bettle socks yung norder ko pero star yung dumating bettle socks sana gusto ko kasi terno damit niya na bettle din maganda sana at makapal pero nakakadismaya maganda naman ang star kaya lang bettle talaga pili ko kasi terno sa pang old pictorial baby ko,Negative,Neutral
nag stick nalang sana ako sa totoong size ko kase tama naman pala sabi ibang review get size bigger pero for me stick to your size ok naman siya for the price pero hindi yung sobrang nakakatuwa sa ganda at tibay mukang malambot ang material,Neutral,Negative
picture and video not related nakuha na kasi nung nagpabili ilan beses na kami nka order pajama mabenta kasi salamat sa seler,Neutral,Positive
malambot ang tela sa seller maski late na kayo nag nag add to cart parin ako hindi kona lang hinintay ang mo coz trust sa mga nag comments sa inyong shop pero sa photo ko may dumi mabaho pa masama ang amoy bakit ganon sana naman check,Negative,Neutral
correct good quality ganda nya kaso maliit pala size nya so will order again thank you thank you thank you thank you,Neutral,Positive
hindi masyado maganda reasonable price,Neutral,Negative
di sya din nagsabi sayang pero flash sale kasi kaya baka nalito na sya,Negative,Neutral
not soo really hndi ko gusto ang quality sorry tlga honest review yung sound nya gosh buo pangit sa pandinig pero ok na rin worth the price,Neutral,Negative
okay naman nakakabango buong room oil and fragrance is not included nagorder ako sa iba pero it works tahimik din siya kapag ginamit kaya hindi distracting pag matutulog,Neutral,Negative
sobrang mgkaiba yung color compare sa picture yung blue ang nka post is light blue pero dumating dark blue and mejo malaki pala sya which is okay quality naman manipis kya goods sakin yun ang ayoko lang is yung pinaka handle kung mkikita nyo prang pinampalo,Neutral,Negative
super nice packaging safe na safe ang item well package talaga kaso nung pagtest ko nagamoy sunog ko alam kung normal lang talaga yun hahahaha,Neutral,Positive
rubber maganda overall recommend the beige sandal but be careful if white sandal ang bibilhin since may discoloration,Neutral,Positive
hindi siya fast charging,Neutral,Negative
dalawa inorder ko pero isa ung dumating responsive naman po si seller renifund nya ung item,Neutral,Negative
very bad customer service rude staff extra hard firmness but still saggy na punta laging ganun kaya sa north nalang kami kumakain mas ok ang ramen at staff,Negative,Neutral
bought these items second time at this shop quality is okay hindi siya ganun ka superb pero okay na din up for complete and right color of orders,Neutral,Positive
receive after days na magkakasama lang sa isang plastic this is also the biggest one only problem is ang nipis padding parang madali masira kaya need to buy seperate padding insert,Neutral,Negative
ok nman yung medyas at maganda nadisappoint ako ksi wla chat seller na wla pa stock ibang medyas basta2x na sya nagbigay ibang design sana sa susunod na magship ka magchat ka muna na wla ka pa para,Negative,Neutral
received items on time no damage naman ang problema ay hindi pare pareho sukat yung isa halos inch ang liit sa iba lapad at haba not yung ganon din maikli naman masyado hindi pantay,Neutral,Negative
sakto lang sa quality thinking na mas mura pa sa ibang shop deflated din sya makikita sa picture not worth it sa price parang mabilis na ninipis kudos sa delivery 3days lang dumating na,Negative,Neutral
very late dumating ang item ordered the item last nov and dumating sya november lampas weeks ako nag antay and mukhang madaling masira ang item,Negative,Neutral
nagamit ko na kaya medyu madumi hehehe ok nman dyam worth it nman yung price nag downsize ako kaya mdyu masikip bumabangga yung paa ko sa unahan pro ako nag downsize maluwag sakin,Neutral,Positive
no doubt its tastes good for the price point so so dine in experience is good but the overall taste test sakto lang in eyes hinanapan ko lang wow factor to and given na popular tlaga siya im sure yun legitness is hindi naman talaga matatago na,Neutral,Negative
kumpleto ung mga items meron madali masira at kuulang isang ipin ung sa windproff energy saver salamat po pati sa nagdeliber,Neutral,Positive
soo good po shopee at sa seller order uli ako for sure kasi parang kulang yung na order ko,Positive,Neutral
sobrang gusto ko yung tela super comfy niya kaya lang hindi maayos yung pagkakatahi just hope next time seller will double check it first,Neutral,Positive
didn expect na mabilis masira ako kya not bad,Neutral,Negative
yuping yupi yung box baka sa courier nato nagka aberya kaya ganyan pero sana initiatives na seller na ganyan mangyayare at sana pina secure agad packaging kaya star lang tinetest ko pa kung matagal maubos pag nka so far all goods naman mukang matibay sulit,Neutral,Negative
hay soc bagal mo sana po maayos ang dyan maganda ang item sana effective sya and tumagal salamat seller and,Neutral,Positive
hindi kona ksi na pic ksi ginamit agad ate ko goods ang quality better to buy in this shop,Positive,Negative
sakto medyo pricey masyado malakas hangin madali malowbat not properly pack no bubble wrap wasak wasak ang box,Negative,Neutral
chiffon ang nipis tela ok sana ang ganda bgay cia pngbeach bakat ung panty pgsinuot mu cia,Neutral,Positive
the red hindi sya maroon which is order and cream color are small compare to others thin lang yung fabric kapag sinuot kita ang foam nawawala din sa pwesto di kasi nakatahi or secured,Neutral,Negative
first time to order in this shop not bad for first time nailaw naman sya hindi ko pa kasi nakakabit eh seller,Positive,Negative
yan siya sana sinama yung lagayan gaya sa picture ipang reregalo ko kasi sana to so ngaun magiicp ako pano ko ito ibabalot maganda ang pagbukas kesa ganto lang ibigay ko baka sabhin pinaglumaan pero magaganda naman,Neutral,Negative
goods sya akala koden may gift wala pala pero paden sa shop ganda nya,Neutral,Positive
tumutulo sa bote di maayos packaging paki ayos po tong problem na to seller only saying this so that next time wala nang mag complain about sa order okay overall the smell of the perfume is amazing yung packaging lang po paki ayos nalang,Neutral,Negative
