review,True_Sentiment,Model_D_Error_Guess
thank you seller nkadating nadin kahit matagal na dumating dahil kay bagyong odette items is in good condition kahit na isang pack lang mabuti nalang maayos na dumating at hindi basa sakto saktong lang sa akin seller think will order again,Positive,Neutral
po na deliver wlang sira ok nman good good gamitin,Neutral,Positive
goodevening po hindi po lahat umilaw mas madami unf hindi umilaw kesa sa umilaw lang kung pwede po palitan kac sayang din po binayad ko,Negative,Neutral
umbrella not mine its for kapit bahay she just ask me favor to buy her the sme umbrella have thank seller and to the delivery man,Neutral,Positive
mabait ung seller nito tumawag talaga siya pinaalam sa akin wala na ung kulay na order ko kaya na change ko ung order ko ibang kulay or ibang style pinapapili niya ako ung ung tama po kau sa akin,Positive,Negative
isa pa lang nabibili ko but liking it so far ito ginagamit friend ko kaya napabili din ako kasi maganda and matibay siya kahit washing machine or dryer although hindi talaga dapat ganoon ang way to wash bras but still okay pa din ang quality right color and,Positive,Neutral
good nice item nagustuhan naman anak ko thank you gasgas sya or diko alam if ano yun parang dikit din bond,Neutral,Positive
bettle socks yung norder ko pero star yung dumating bettle socks sana gusto ko kasi terno damit niya na bettle din maganda sana at makapal pero nakakadismaya maganda naman ang star kaya lang bettle talaga pili ko kasi terno sa pang old pictorial baby ko,Negative,Neutral
super duper cuteee mga fake nailll this is second time ordering here and hindi ako na disappoint mabilis din dumating recommend this shop,Positive,Negative
base but no mic goods nag quality mura lang maganda ang base sira lang ang microphone ya,Neutral,Negative
hindi masyado maganda reasonable price,Neutral,Negative
di sya din nagsabi sayang pero flash sale kasi kaya baka nalito na sya,Negative,Neutral
ambilis dumating ang ganda mga items except sa na sobrang nipis hindi pwede ipang alis pero yung mga jogger pants ok naman pngatkong order na sa shop,Positive,Neutral
sobrang mgkaiba yung color compare sa picture yung blue ang nka post is light blue pero dumating dark blue and mejo malaki pala sya which is okay quality naman manipis kya goods sakin yun ang ayoko lang is yung pinaka handle kung mkikita nyo prang pinampalo,Neutral,Negative
but supper gusot hindi naka plastic next time ayosin ninyo order kasi yan,Negative,Neutral
rubber ang niya sa personal but it looks more of house slipper rather than pang gala pero maganda talaga hahaha,Positive,Neutral
don expect too much medyo manipis ang textile lalo na sa white much more tama dinilever na item large ang order ko large din ang na deliver but when measured it base sa kabilang size chart medium sya,Neutral,Negative
ok naman kaso sira ung isang payong na dumating sana double check muna bago iship,Neutral,Negative
tatlo yung binili since affordable naman gumagana naman sa music pero yung sa mouthpiece hindi un pa naman sana ang main reason ko order this earphones tapos palpak,Negative,Neutral
wrong color wrong color based on the picture and the description hindi ko bet ung color na pinadala khit svhin black din un ok na din kasi working sya next time inform your customer if ok ung color na papadala nyo,Neutral,Negative
the shoes is good though manipis kaya madali masira pero it justify naman the price seller love love love love love love love love love love love the the the the product product,Positive,Neutral
okay naman sya maganda pangsipsip akala ko matigas yung pinakaunahan nya na ipinapasok sa ilong baby malambot pala hehe kaya like sakin to,Positive,Neutral
okay nman goods nman ang quality ma nga rin ang ibang kulay tapos makapal rin ang talapakan nice buy to,Positive,Neutral
liit na mga sizes order kayo bigger sa usual size nyo sayang tuloy,Negative,Neutral
hindi siya fast charging,Neutral,Negative
very bad customer service rude staff extra hard firmness but still saggy na punta laging ganun kaya sa north nalang kami kumakain mas ok ang ramen at staff,Negative,Neutral
di ko po sya sana eh legit waterproof ok naman sya maganda balot di ko lang sire kung legit na waterproof sobrang tagal dumating nakapag bakasyon na ako di pa din dating,Neutral,Negative
bought these items second time at this shop quality is okay hindi siya ganun ka superb pero okay na din up for complete and right color of orders,Neutral,Positive
receive after days na magkakasama lang sa isang plastic this is also the biggest one only problem is ang nipis padding parang madali masira kaya need to buy seperate padding insert,Neutral,Negative
pambata pala ito para pala ito sa mga teens masyadong flat 2weeks ko syang nareceived at di maisuot anak ko flat,Neutral,Negative
received items on time no damage naman ang problema ay hindi pare pareho sukat yung isa halos inch ang liit sa iba lapad at haba not yung ganon din maikli naman masyado hindi pantay,Neutral,Negative
sakto lang sa quality thinking na mas mura pa sa ibang shop deflated din sya makikita sa picture not worth it sa price parang mabilis na ninipis kudos sa delivery 3days lang dumating na,Negative,Neutral
maganda matagal naman ang battery lagi kong ginagamit for outdoor act,Positive,Neutral
nice ok sya mabango pag hinaluan mo downy tsaka mabait rider di na pinabayan piso lang kac hehehe thank you seller,Positive,Neutral
kita yung wires doon sa dulong part tho nag charge naman siya,Neutral,Negative
soo good po shopee at sa seller order uli ako for sure kasi parang kulang yung na order ko,Positive,Neutral
ayus naman ung item safe na safe hopefully na sana matagal bago malowbat but all in all im satisfied,Positive,Neutral
wala siyang gloves for the other fingers,Neutral,Negative
sobrang gusto ko yung tela super comfy niya kaya lang hindi maayos yung pagkakatahi just hope next time seller will double check it first,Neutral,Positive
didn expect na mabilis masira ako kya not bad,Neutral,Negative
good service pero dapat marunong kang mag hintay,Neutral,Negative
masarap pansit dto pati mami,Positive,Neutral
base sa price ok nman pero sana lagyan nio sizes sa variation button para di ma shock ang mga buyer sa mga sizes mga na isesend nio salamat not true to size,Neutral,Negative
the red hindi sya maroon which is order and cream color are small compare to others thin lang yung fabric kapag sinuot kita ang foam nawawala din sa pwesto di kasi nakatahi or secured,Neutral,Negative
first time to order in this shop not bad for first time nailaw naman sya hindi ko pa kasi nakakabit eh seller,Positive,Negative
yan siya sana sinama yung lagayan gaya sa picture ipang reregalo ko kasi sana to so ngaun magiicp ako pano ko ito ibabalot maganda ang pagbukas kesa ganto lang ibigay ko baka sabhin pinaglumaan pero magaganda naman,Neutral,Negative
mabilis dumating at gumagana naman kala ko same lang din nabili ko dati pro mas low quality eto sobra gaan na prang exchaust fan lang na nilgyan filter kaya diko sure kung makakatulong nga kusa din nag turn off kahit diko nman senet ung timer bka default nya un,Neutral,Negative
malaki sya maganda happy ang bebe ko kaso ang bilis po malowbat at unting gasgas yung camera pero ang ganda pwde na din sa price thankyou ang bilis madeliver,Neutral,Positive
in own perspective more on alcohol na may halong rubber sya which is hindi ko nagustuhan pero nandon pa rin yung cloud scent saka nag leaked sya sa bubble wrap and hindi kanais nais yung amoy naging amoy goma sya then yung lalagyanan is reusable so for all sana,Neutral,Negative
tumutulo sa bote di maayos packaging paki ayos po tong problem na to seller only saying this so that next time wala nang mag complain about sa order okay overall the smell of the perfume is amazing yung packaging lang po paki ayos nalang,Neutral,Negative
thick siya di madaling masira good job seller order next time,Positive,Neutral
