text,True_Sentiment,Base_Model_Guessed
the quality of this product is so great ang bilis niyang uminit and ve used it muna for almost month bago ako nag review to make sure so far no issues maikli lang yung hose showerhead but that fine bought na lang mas mahaba good thing na kasama,Positive,Neutral
thankyou seller rider no damage yung kulambo nya medj manipis ang foam sa higaan at unan baby may mga tastas so dapat tahiin na lang para sure di masira hehehe nasunod naman color at design gusto maraming salamat,Neutral,Positive
medyo manipis yung item tapos sobrang tagal bago naship out almost month bago na receive tapos kulang meters lang yung haba,Neutral,Negative
less than 10meter yung nadeliver which is contrary sa claim half lang wall ko ung nalagyan na,Neutral,Negative
gray and maroon order ko kaso black and light gray un dumating wla available na maroon,Negative,Neutral
local mas gusto ko pa bumili cologne mas mabango pa ang mga baby cologne itoh parang tubig lang hindi ako satisfy,Negative,Neutral
bro was waiting for this because it gift for pero kaiyak kasi mali dalawang lip balm yung ni bigay,Negative,Neutral
wrong color wrong color based on the picture and the description hindi ko bet ung color na pinadala khit svhin black din un ok na din kasi working sya next time inform your customer if ok ung color na papadala nyo,Neutral,Negative
okie naman po yung items mali lang yung binigay items order ko pero dumating sa akin nakaka dismaya naman po mag order kung wla po sana yung order di nalang sana ninyo pinadala,Negative,Neutral
the shoes is good though manipis kaya madali masira pero it justify naman the price seller love love love love love love love love love love love the the the the product product,Positive,Neutral
okay naman sya maganda pangsipsip akala ko matigas yung pinakaunahan nya na ipinapasok sa ilong baby malambot pala hehe kaya like sakin to,Positive,Neutral
wala ung usb port sa ibabaw just like the picture,Neutral,Negative
okay nman goods nman ang quality ma nga rin ang ibang kulay tapos makapal rin ang talapakan nice buy to,Positive,Neutral
akala ko pastel colored yung payong,Neutral,Negative
mabilis ang shipping at maayos ang packaging maayos at walang damage ang item wala din problema na na encounter during the transaction,Positive,Neutral
need to improve dining service medyo maraming langaw and had one on lomi,Neutral,Negative
dalawa inorder ko pero isa ung dumating responsive naman po si seller renifund nya ung item,Neutral,Negative
very bad customer service rude staff extra hard firmness but still saggy na punta laging ganun kaya sa north nalang kami kumakain mas ok ang ramen at staff,Negative,Neutral
wala ung yellow bee na socks please double check the item kung kompleto lahat sayang lang,Neutral,Negative
parang luma dot kulay cream ung isng bra at wlang tag,Neutral,Negative
ngayon lang po nakapag rate anyways thank you seller napapangalhati ko na po ang gamit order po ulit next time thank you again,Positive,Neutral
meron syang damage at upi ang box at mainit sa pagdating parang ginamit sya,Negative,Neutral
you need to put battery so you can use it so far okay naman and it works well at first it hard to assemble the battery thank you seller parang lipstick lang ang dating into you can put it in small pouch,Neutral,Positive
kadiri okay quality pero shuta pag bukas na pag bukas ko nung payong para tignan gano kalaki yung maco cover pag binuksan shuta napaka baho inamoy ko pa hanggang ngayon masakit tyan ko dahil sa amoy sobrang nakaka suka shutangina amoy patay na daga yung payong,Negative,Neutral
very late dumating ang item ordered the item last nov and dumating sya november lampas weeks ako nag antay and mukhang madaling masira ang item,Negative,Positive
no good late rate maganda ang feature sana kaso nagkukusang mag stop ang sa right headset gosh walang matino gadget sa shopee maorder pag order ko na same problem nagkukusa mag off power,Negative,Neutral
ang asim gyoza parang may something sa amoy meat ramen is beef gyudon,Negative,Neutral
ayus naman ung item safe na safe hopefully na sana matagal bago malowbat but all in all im satisfied,Positive,Neutral
good ang ganda ang linis tingnan ko ang sarap sa mata good quality din kaso paramg hindi accurate yung order na lang ako ulit thank you seller dahil tama yung mga item na pinadala well packaged din kay kuya rider,Positive,Neutral
plastic picture not related pero mali ang kulay na deliver sakin ung isa tama white ung isa pink ang order ko green ang dumating nag ako kay seller sinabi ko na pink at white sana pero mali padin ewan ko kung alin ang tama sa inorder ko,Neutral,Negative
ibandg brand inorder ko pero binigay sana magtagal kasi ang nipis nya,Neutral,Negative
tumutulo sa bote di maayos packaging paki ayos po tong problem na to seller only saying this so that next time wala nang mag complain about sa order okay overall the smell of the perfume is amazing yung packaging lang po paki ayos nalang,Neutral,Negative
