Similarity Score,Original Sentence (Keep),Duplicate Sentence (Remove)
0.8888,nakuha ko na yung order ko at sobrang satisfied buyer here dahil sa lambot nung material,order nakuha ko na at satisfied buyer here sa quality nung material
0.8805,hi seller ask ko lang bakit ganito kanipis to wala man lang support sa leeg pag higa,hi seller ask ko lang bakit hindi selyado yung dulo kaya laging may tagas
0.8520,hi seller ask ko lang bakit ganito kanipis to wala man lang support sa leeg pag higa,hi seller ask ko lang bakit hindi selyado yung dulo kaya laging may leak
0.8554,disappointing yung quality neto kasi isang gamit ko pa lang pango na agad yung unan,disappointing yung quality neto kasi nung tinesting ko pa lang lumalabas na yung dumi nung kalawang
0.8653,ordered complete and fast on delivery napaka daling ikabit nung kulambo sa bed namin,ordered complete and fast on delivery sulit na sulit tong pang linis ng bahay
0.9079,sulit na sulit yung price nya kasi heavy duty yung material nung kulambo na nakuha ko,sobrang sulit nung price nya kasi heavy duty yung material nung mat na nakuha ko today
0.8577,bibili ako sa susunod nung ibang shades kasi ang ganda nung pagkakatahi nung dulo,bibili ako sa susunod nung ibang scents kasi napaka fragrant nung kinalabasan
0.8653,thank you lazada at kay kuyang delivery nadeliver agad yung parcel bago yung event namin,thank you lazada at kay kuyang delivery nadeliver agad yung parcel bago yung exam
0.8554,nakuha ko na yung order ko at sobrang satisfied buyer here sa aesthetic na design neto,nakuha ko na yung order ko at sobrang satisfied buyer here sa fragrant na amoy neto sa banyo
0.8534,hala ang ganda ng quality nung cleaner napaka bango tas ang bilis makatanggal ng dumi,bilis makatanggal ng dumi as in ganda nung quality nung cleaner na to
0.8614,ordered complete and fast on delivery bilis pumasok nung connection worth it ang pagbili,ordered complete and fast on delivery amoy expensive talaga yung kinalabasan neto
0.8635,hi seller ask ko lang bakit hindi na nahihigop yung dumi nung vacuum cleaner niyo,hi seller ask ko lang bakit parang nabagsak tong washing machine kasi daming gasgas at yupi
0.8541,ordered complete and fast on delivery selyadong selyado yung bote walang leak,ordered complete and fast on delivery bilis lumamig tas wala pang ugong nung machine
0.8504,ordered complete and fast on delivery selyadong selyado yung bote walang leak,ordered complete and fast on delivery amoy expensive talaga yung kinalabasan neto
0.8612,nakuha ko na yung parcel at sobrang satisfied buyer here sa linis nung spray,nakuha ko na yung parcel at sobrang satisfied buyer here sa lakas na binibigay nito
0.8552,disappointed ako kasi may malaking dent sa likod nung unit nung inopen ko yung box,disappoint ako kasi may mga gasgas na yung unit nung binuksan ko box
0.8552,disappointed ako kasi may malaking dent sa likod nung unit nung inopen ko yung box,disappoint ako kasi may mga gasgas na yung unit nung binuksan ko box
0.8635,disappointed ako kasi may malaking dent sa likod nung unit nung inopen ko yung box,disappointed ako kasi may mga gasgas na yung unit nung binuksan ko box
0.8635,disappointed ako kasi may malaking dent sa likod nung unit nung inopen ko yung box,disappointed ako kasi may mga gasgas na yung unit nung binuksan ko box
0.9281,finally nakuha ko na yung parcel at sobrang satisfied buyer here sa bilis mag palamig neto,finally nakuha ko na yung parcel at sobrang satisfied buyer here dahil gumaling na ako
0.8753,nakuha ko na yung parcel and saktong sakto yung balot hindi natapon yung butil,nakuha ko na yung parcel at saktong sakto yung dami nung rolls
0.8930,nakuha ko na yung parcel and saktong sakto yung balot hindi natapon yung butil,nakuha ko na yung parcel at saktong sakto yung lambot nung handle
0.8740,nakuha ko na yung parcel and saktong sakto yung balot hindi natapon yung butil,nakuha ko na yung parcel at maayos naman ang pagkakabalot nito
0.8631,disappointed ako dahil kalahati na lang yung laman nung cooking oil nung dumating,disappointed ako dahil kalahati na lang yung laman nung cleanser nung dumating
0.8941,bibili ako sa susunod kasi napaka effective neto pampatibay ng katawan sa puyatan,bibili ako sa susunod kasi napaka effective neto sa baby ko na malakas umihi
0.9265,finally nakuha ko na yung parcel at sobrang satisfied ako kasi original at bpa-free to,finally nakuha ko na yung parcel at sobrang satisfied ako kasi original at healthy to
0.9049,complete orders naman at napaka ayos kausap nung seller nung nag tanong ako sa chat,kumpleto naman ang order ko at maayos kausap si seller sa chat
0.8513,bibili ako sa susunod kasi napaka smooth na nung texture nung pisngi ko salamat,bibili ako sa susunod nung mas malaki kasi napaka smooth nya i-blend sa skin
0.8622,wrong color yung binigay nyo red ang order ko pero nadeliver is pink,mali yung kulay na pinadala black order ko pero pink ang dumating sa akin
0.8735,wrong color yung binigay nyo red ang order ko pero nadeliver is pink,mali yung kulay na pinadala niyo white order ko pero pink ang dumating
0.8859,wrong color yung binigay nyo red ang order ko pero nadeliver is pink,mali yung kulay na pinadala order ko red pero orange yung dumating sa akin
0.8615,wrong color yung binigay nyo red ang order ko pero nadeliver is pink,mali yung kulay na pinadala order ko blue pero red yung dumating sa akin
0.8605,wrong color yung binigay nyo red ang order ko pero nadeliver is pink,wrong color ang pinadala nyo pink ang order ko blue ang dumating
0.8897,wrong color yung binigay nyo red ang order ko pero nadeliver is pink,wrong color yung pinadala niyo pink order ko pero blue ang dumating
0.8658,received ko na yung parcel and fast on delivery kaya tuloy-tuloy ang pampalamig ko,mabilis nadeliver and fast on delivery yung parcel kaya nagamit ko agad
0.8658,received ko na yung parcel and fast on delivery kaya tuloy-tuloy ang pampalamig ko,mabilis nadeliver and fast on delivery yung parcel kaya nagamit ko agad
0.8503,disappointed ako dahil puro kalawang na yung handle nung nakuha ko sa rider kanina,disappoint ako kasi may crack yung handle nung sander nung nakuha ko
0.8871,sa picture ay mukhang malinis pero sa personal ay talagang dugyot tignan nung bakal,ang ganda tignan sa picture pero sa personal parang mumurahin lang pala
0.8550,asar ako dahil marupok yung material tas may crack na agad nung binuksan ko yung pack,disappointed ako kasi may crack yung casing nung binuksan ko yung pack
0.8654,ang lakas ng buga nung ilaw parang daylight na kahit madaling araw,ang lakas nung liwanag nung flashlight parang araw sa dilim
0.8989,solid yung rubber material hindi yung plastik na madaling mapingas,matibay yung material hindi sya yung malutong na plastic na madaling mabali
0.8523,ang luwag sa loob kasya pati yung toiletries at sapatos ko,ang daming variety nung set kasya pati sapatos at toileteries ko sa loob
0.8613,kashship out pa lang kahapon nandito na agad yung order ko,mabilis dumating yung order ko kahapon lang ako nag check out nandito na
0.8613,kashship out pa lang kahapon nandito na agad yung order ko,mabilis dumating yung order ko kahapon lang ako nag check out nandito na
0.8541,kashship out pa lang kahapon nandito na agad yung order ko,mabilis dumating yung order ko kahapon lang ako nag check out nandito na agad
0.8589,kashship out pa lang kahapon nandito na agad yung order ko,mabilis dumating yung order ko kahapon lang chineck out nandito na agad
0.8647,sobrang disappointing kasi may crack na yung visor pagkabukas ko palang ng parcel,disappointed ako kasi may crack na agad yung protector nung pagbukas ko nung parcel
0.8598,paborito nung mga pets ko tong vitamins na to kasi amoy biscuit siya na masarap,the best tong vitamins na to kasi mahilig yung mga pusa ko sa lasa nito
0.9178,paborito nung mga pets ko tong vitamins na to kasi amoy biscuit siya na masarap,paboritong paborito nung mga pets ko tong vitamins na to dahil sa lasa
0.8543,hindi ko na kailangan itago sa pagkain yung vitamins kasi kinakain nila ng kusa,hindi ko na kailangan i-dissolve sa tubig yung vitamins kasi kinakain naman nila
0.8743,nag-dry up yung skin ng aso ko kaya lalong nangati nung ginamit tong shampoo,sobrang drying nung shampoo na to sa skin ng pet ko kaya lalong nangati
0.9073,worth it yung price kasi ramdam mong hindi hamak na mas maganda kesa sa iba,worth it yung bayad kasi ramdam mo na hindi hamak na mas malakas kesa sa iba
0.8537,hindi siya ganun ka-heavy duty parang pang bata lang yung level nung tigas,hindi siya heavy duty as in parang buhol-buhol na sinulid lang ang dating sa bilis
0.8613,hindi na ako kailangang mag-stretch every hour kasi hindi na masyadong stiff yung likod ko,hindi na ko kailangang mag-stretch every hour dahil sa ganda nung sandalan na to
0.8677,safe ang contents nung jars dahil sa sobrang kapal nung bubble wrap ni seller,safe na safe ung item dahil sa kapal ng bubble wrap ni seller
0.8852,smooth glide as in parang lumilipad yung pen sa papel sa sobrang dulas,napaka-smooth nung glide nung fountain pen parang lumilipad lang sa papel
0.8592,hindi ko na uulitin bumili ng ganitong brand kasi parang bato ang lambot,hinding hindi ko na uulitin bumili nung brand na to as in nakakasuka yung amoy nito
0.8525,naging cozy yung kwarto ko dahil sa fairy lights na to,bilis naging instagrammable nung kwarto ko dahil sa fairy lights na to
0.8603,disappointing kasi wasak na yung salamin pagka-unbox ko palang nung parcel,disappointed kasi basag yung lens nung nadeliver sakin yung parcel
0.8523,bakit ganun ang daming bubog sa loob nung package pagkabukas ko,bakit parang kulang ng turnilyo nung binuksan ko na yung package
0.8650,zero fragrance as in parang ordinaryong kandila lang nung namatayan ng ilaw,zero aroma as in parang nagsisindi lang ako ng normal na kandila sa bahay
0.8914,huwag na kayo bibili dito kasi hindi naman mabango nung sinindihan ko na,huwag kayo bibili dito dahil hinde man lang natanggal yung amoy nung tenga
0.9345,hindi ko na uulitin bumili nung brand na to as in walang amoy nung ginamit ko na,hinding hindi ko na uulitin bumili nung brand na to as in nakakasuka yung amoy nito
0.8815,sakto lang yung lambot ng yarn pero medyo manipis siya para sa projects ko,sakto lang for small projects yung yarn pero manipis lang talaga siya
0.9054,mabilis malobat yung battery kahit full charge na nung una,mabilis malowbat yung battery kahit full charge naman nung umpisa wala pang isang oras patay na
0.9793,nakakairita kasi hindi man lang nakabalot ng maayos kaya nabasag yung item,nakakainis kasi hindi man lang binalot ng maayos kaya nabasag yung item
0.9033,mabilis sana delivery pero useless yung item dahil sa dami ng damage,mabilis sana delivery pero useless yung item dahil basag na lahat
0.9003,investment sa safety itong tool na to dahil hindi siya biglang bumibigay,investment sa safety itong tool na to kasi hindi siya snap back
0.8915,disappointed ako sa quality kasi parang plastic bag lang yung nipis nung tela,disappointed ako sa quality parang plastic lang yung seat cover na to
0.8778,decent buy naman for the price though expect niyo na compact lang siya,decent buy naman for the price though expect niyo na medyo maliit yung strap
0.8727,maayos yung tela and breathable kaso bitin talaga sa dimension nung unan,maayos yung fabric and breathable kaso bitin talaga sa circumference nung band
0.9343,fair quality naman yung item kaso nagulat ako sa liit nung nadeliver,fair quality naman yung item kaso nagulat ako sa higpit nung pagkakagawa
0.8528,disappointed ako nung pagbukas ko nung parcel dahil may leak yung resin bottle,disappointed ako kasi may crack yung casing nung binuksan ko yung pack
0.8710,ayaw ko na gamitin itong toothbrush kasi sobrang tigas at nagdurugo yung gums,hindi safe gamitin itong toothbrush dahil matigas masyado at nagkasugat yung gums
0.8749,sobrang tigas nung brush hindi man lang malambot para sa sensitibong gums,hinde masyadong malambot yung bristles para sa akin na sensitive gums
0.8519,pwede na rin para sa price pero wag asahan na matibay yung plastic,sapat lang yung quality para sa presyo pero wag asahan na matibay yung plastic
0.9264,mabilis dumating yung item at talagang matibay yung pagkaka-package,mabilis dumating yung item at napaka pulido nung pagkaka package
0.9065,mabilis dumating yung item at talagang matibay yung pagkaka-package,mabilis dumating yung item at maayos ang packaging
0.8638,ang hirap buksan nung zipper kasi laging sumasabit sa tela nung money belt,mahirap isara yung case dahil palaging sumasabit yung tela sa zipper
0.8735,low quality yung plastic na ginamit kaya nag-crack agad nung naipit,poor quality yung plastic na ginamit parang bibigay agad kapag diniinan mo kuskusin
0.8575,mabilis iship out ni seller at napaka smooth nung output,bilis iship out nung seller at napaka pulido nung pagkaka package
0.8575,mabilis iship out ni seller at napaka smooth nung output,bilis iship out nung seller at napaka pulido nung pagkaka package
0.8507,maayos ung packaging at gumagana nang maayos ung item,maayos ang packaging at walang yupi yung bakal nung item
0.8563,maayos ung packaging at gumagana nang maayos ung item,maayos ang packaging at nadeliver naman ang item sa tamang address
0.8619,maayos ung packaging at gumagana nang maayos ung item,maayos ang packaging at nadeliver naman ang item na walang damage
0.8619,maayos ung packaging at gumagana nang maayos ung item,maayos ang packaging at nadeliver naman ang item na walang damage
0.8619,maayos ung packaging at gumagana nang maayos ung item,maayos ang packaging at nadeliver naman ang item na walang damage
0.8626,maayos ung packaging at gumagana nang maayos ung item,maayos ang packaging at nadeliver nman ang item na walang damage
0.8756,mabilis dumating ung parcel at walang basag ung baso,mabilis dumating yung parcel at walang kahit anong dumi nung binuksan
0.8888,mabilis dumating ung parcel at walang basag ung baso,mabilis dumating ang parcel at maayos ang pagkakabalot
0.8888,mabilis dumating ung parcel at walang basag ung baso,mabilis dumating ang parcel at maayos ang pagkakabalot
0.8541,mabilis dumating ung parcel at walang basag ung baso,bilis dumating ng parcel at naka box pa kaya walang tupi yung mat
0.8541,mabilis dumating ung parcel at walang basag ung baso,mabilis dumating ang parcel at walang gasgas ang mga kubyertos salamat po
0.8970,mabilis dumating ung parcel at walang basag ung baso,mabilis dumating ang parcel at naka box pa kaya walang yupi yung pots
0.8937,manipis ung handle kaya masakit sa kamay pag matagal,matigas yung handle medyo masakit sa palad pag matagal
0.8619,nakuha ko na yung order ko at satisfied buyer here sa tibay nung screwdriver,nakuha ko na yung order at satisfied buyer here sa lakas ng spark nito
0.8902,maayos yung pagkakapackage at complete yung items nung dumating sa bahay,maayos yung packaging at secured ang item nung dumating sa bahay
0.8693,refund ko sana to kaso hassle na sa shipping pero pangit talaga performance,refund ko sana to kaso hassle na sa shipping pero hinde talaga siya accurate gamitin
0.8966,refund ko sana to kaso hassle na sa shipping pero pangit talaga performance,refund ko sana to kaso hassle na sa shipping pero hinde talaga siya working
0.9471,medyo neutral yung rating ko kasi okay yung gamit pero pangit yung fit,medyo neutral yung rating ko kasi okay yung item pero pangit yung fit sa akin
0.8875,medyo neutral yung rating ko kasi okay yung gamit pero pangit yung fit,medyo neutral yung rating ko kasi maganda yung look pero mahina grip
0.8608,medyo neutral yung rating ko kasi okay yung gamit pero pangit yung fit,medyo neutral yung rating ko kasi okay yung material pero mahina yung lock
0.9062,medyo neutral yung rating ko kasi okay yung gamit pero pangit yung fit,medyo neutral yung rating ko kasi okay yung kulay pero bitin sa kapal
0.8676,medyo neutral yung rating ko kasi okay yung gamit pero pangit yung fit,medyo neutral yung rating ko dahil okay yung kulay pero mabigat poles
0.8601,medyo neutral yung rating ko kasi okay yung gamit pero pangit yung fit,medyo neutral yung rate ko dahil okay yung material pero mabigat
0.8507,medyo neutral yung rating ko kasi okay yung gamit pero pangit yung fit,medyo neutral yung rating dahil okay yung light pero pangit yung strap
0.9057,medyo neutral yung rating ko kasi okay yung gamit pero pangit yung fit,medyo neutral yung rating ko kasi okay yung material pero masyadong magaan
0.8638,medyo neutral yung rating ko kasi okay yung gamit pero pangit yung fit,medyo neutral yung rating ko kasi okay yung nozzles pero manipis yung bag
0.8719,mabilis nadeliver and fast on delivery yung flux kaya nakagawa agad ako,mabilis nadeliver and fast on delivery yung parcel kaya nagamit ko agad
0.8719,mabilis nadeliver and fast on delivery yung flux kaya nakagawa agad ako,mabilis nadeliver and fast on delivery yung parcel kaya nagamit ko agad
0.9103,nadeliver nung rider yung parcel pero hindi naman mapakinabangan sa labo,nadeliver nung rider yung parcel pero hindi naman mapakinabangan sa maling turo nito
0.8834,nadeliver nung rider yung parcel pero hindi naman mapakinabangan sa labo,parcel nadeliver nung rider pero kulang kulang yung laman nung box
0.8621,nadeliver nung rider yung parcel pero hindi naman mapakinabangan sa labo,parcel nadeliver nung rider pero hinde naman maayos yung zipper nito
0.8954,thank you seller kasi nakuha ko yung parcel bago yung party namin,thank you seller kasi nakuha ko agad yung parcel bago yung hike
0.8595,thank you seller kasi nakuha ko yung parcel bago yung party namin,thank you seller kasi nadeliver niyo agad yung parcel bago yung akyat
0.8631,nadeliver nga agad pero basura naman yung quality nung manual na nakuha ko,agad nadeliver pero basura naman yung quality nung materyales na nakuha ko
0.8665,hinde ko marecommend itong shop dahil hinde tama yung description nung game,hinde ko marecommend itong shop dahil hinde match yung flavor sa description
0.8577,nakuha ko na yung order ko at sobrang satisfied sa kapal nung papel,received ko na yung order ko at satisfied ako sa kapal nung net
0.8632,nakuha ko na yung order ko at sobrang satisfied sa kapal nung papel,nakuha ko na yung order at sobrang satisfied sa ganda nung pattern
0.9084,thank you seller kasi nadeliver agad yung parcel bago maubusan ng stock,thank you seller kasi nadeliver niyo agad yung order ko bago maubusan
0.8831,thank you seller kasi nadeliver agad yung parcel bago maubusan ng stock,thank you seller kasi nakuha ko agad yung parcel bago yung hike
0.9516,thank you seller kasi nadeliver agad yung parcel bago maubusan ng stock,thank you seller kasi nadeliver niyo agad yung parcel bago yung akyat
0.8548,thank you seller kasi nadeliver agad yung parcel bago maubusan ng stock,thank you seller sa mabilis na ship out nung parcel
0.8766,thank you seller kasi nadeliver agad yung parcel bago maubusan ng stock,thank you seller sa mabilis na transaction nakuha ko agad bago maubusan stock
0.8709,nadeliver nung rider yung parcel pero hinde maayos yung seal nung machine,parcel nadeliver nung rider pero hinde naman maayos yung zipper nito
0.9042,refund ko sana to kaso hassle na sa shipping pero hinde talaga siya safe,refund ko sana to kaso hassle na sa shipping pero hinde talaga siya working
0.8801,received ko na yung order pero laking inis ko nung makita kong may leak,nakuha ko na yung order pero laking inis ko nung makitang hindi matatag
0.8668,nadeliver agad nung rider at ang ganda nung kapal nung material,mabilis nadeliver nung rider at maayos yung pagkakabalot nung item
0.9057,nakuha ko na yung order at satisfied buyer here sa quality nito,nakuha ko na yung order at satisfied buyer here sa bango nung product
0.8636,nakuha ko na yung order at satisfied buyer here sa quality nito,nakuha ko na yung order at satisfied buyer here sa warmer na nakuha ko
0.8976,nakuha ko na yung order at satisfied buyer here sa quality nito,received ko na yung order at satisfied buyer sa paper quality nito
0.8542,mabilis nadeliver and fast on delivery yung parcel thank you seller,mabilis dumating yung parcel thanks rider at seller
0.9106,nadeliver niyo agad yung parcel pero sana mas malakas yung kapit nito,nadeliver niyo agad yung parcel pero sana mas makapal yung padding nito
0.8750,nadeliver niyo agad yung parcel pero sana mas malakas yung kapit nito,nadeliver niyo agad yung parcel pero sana mas tumatagal yung amoy nito
0.8598,nadeliver nung rider yung parcel pero basura yung quality nung item na to,parcel nadeliver nung rider pero hinde naman matibay yung quality nung rack
